,id,Name,Gender,Account created at,Bio-cluster,Tweet cluster,Sentiment,Verification Status,Followers Network Metrics,Number of Followers,Friends Network-metrics,Total Tweet activity,Retweet count,Activity status,Media attachments,Source of tweet,Location
40,1526700257991569408,CryptoAngus,Unknown,2018,cluster0,Topic3,negative,False,Not Influential,126,199,9516,0,Highly active,No Media Attached,Twitter for iPhone,Pacific Northwest
41,1526699451405967360,Harry Grimes,N,2021,cluster0,Topic3,Positive,False,Not Influential,184,564,6249,0,Highly active,No Media Attached,Twitter for iPad,
42,1526699407529283584,Marty ₿yrde,M,2017,cluster0,Topic3,Neutral,False,Not Influential,49,508,1815,0,Highly active,No Media Attached,Twitter Web App,
43,1526690747663011840,монаمмаđ,Unknown,2011,cluster0,Topic3,Positive,False,Not Influential,26,143,1499,0,Highly active,No Media Attached,Twitter for Android,Mumbai
44,1526686761052581888,ana marino,F,2019,cluster0,Topic3,Neutral,False,Not Influential,994,1068,29676,0,Highly active,No Media Attached,Twitter for Android,
45,1526680130352992258,Rachealllll,F,2015,cluster0,Topic5,Positive,False,Not Influential,155,260,575,0,Highly active,No Media Attached,Twitter for Android,
46,1526680053462884353,Ian Rust (Apex Male™©®),F,2012,cluster0,Topic0,Positive,False,Not Influential,398,1116,18363,0,Highly active,No Media Attached,Twitter for Android,"Portland, Oregon"
47,1526665390616715264,Jasmine🌱,F,2022,cluster0,Topic3,Neutral,False,Not Influential,167,0,85,0,Highly active,No Media Attached,Twitter for iPhone,"San Diego, CA"
48,1526664199828553728,Ivnbg1710,Unknown,2018,cluster0,Topic3,Neutral,False,Not Influential,138,124,1636,0,Highly active,No Media Attached,Twitter for Android,
49,1526661625926692864,B U X,M,2020,cluster0,Topic3,Neutral,False,Not Influential,3046,894,7637,0,Highly active,No Media Attached,Twitter for iPhone,219/317/702
50,1526660269958643718,Maxwell Smart,M,2020,cluster0,Topic3,Positive,False,Not Influential,39,86,5436,0,Highly active,No Media Attached,Twitter Web App,Earth
51,1526657246335315968,Jamal Iston,F,2021,cluster0,Topic3,Positive,False,Not Influential,1048,2004,1012,0,Highly active,No Media Attached,Twitter for Android,
52,1526652754009239553,Benjamín,M,2019,cluster0,Topic3,Neutral,False,Not Influential,0,2,15,0,Not that active,No Media Attached,Twitter Web App,
53,1526652316702519296,Aalo_kanda,Unknown,2020,cluster2,Topic0,Neutral,False,Not Influential,22,290,1518,0,Highly active,No Media Attached,Twitter for Android,
54,1526649619010269185,micah,F,2009,cluster5,Topic3,negative,False,Not Influential,331,312,17442,0,Highly active,No Media Attached,Twitter for iPhone,"Marietta, GA"
55,1526645690369196032,Rick The Anti-Conservative 🇺🇸,F,2017,cluster0,Topic3,Neutral,False,Not Influential,2679,3231,16047,0,Highly active,No Media Attached,Twitter for Android,"North Dakota, USA"
56,1526643052936314885,Menno SG,F,2020,cluster0,Topic3,negative,False,Not Influential,12,244,337,0,Highly active,No Media Attached,Twitter for Android,
57,1526640767976067072,teri,F,2009,cluster2,Topic3,negative,False,Not Influential,1892,5001,74394,0,Highly active,No Media Attached,Twitter for Android,USA
58,1526639132306550784,BlueAxolotl MCYT,Unknown,2022,cluster5,Topic3,Neutral,False,Not Influential,0,48,2,0,Not that active,No Media Attached,Twitter for Android,
59,1526638174080049153,Dave T.,F,2016,cluster0,Topic0,Neutral,False,Not Influential,105,845,1174,0,Highly active,No Media Attached,Twitter Web App,"Toronto, Ontario"
60,1526636207857451008,_,Unknown,2021,cluster0,Topic3,Neutral,False,Not Influential,14,8,436,1,Highly active,No Media Attached,Twitter Web App,
61,1526635372691632129,Lea Savoy 🇺🇸🌮🪐,F,2009,cluster0,Topic3,Positive,False,Not Influential,3450,4854,357244,0,Highly active,No Media Attached,Twitter Web App,The Dark Side of Right
62,1526634162278772736,seedbein,Unknown,2019,cluster0,Topic3,Neutral,False,Not Influential,5,460,580,0,Highly active,No Media Attached,Twitter for iPhone,
63,1526634013695389697,Catrece Verde,F,2021,cluster3,Topic3,Positive,False,Not Influential,2,44,76,0,Highly active,No Media Attached,Twitter for Android,"Anniston, AL"
64,1526633650586103808,Glennville De Caries,M,2022,cluster0,Topic3,Neutral,False,Not Influential,0,2,26,0,Not that active,No Media Attached,Twitter for iPhone,
65,1526632124631195653,DepressionsaurusRex,Unknown,2017,cluster0,Topic1,negative,False,Not Influential,14,2335,1081,0,Highly active,No Media Attached,Twitter Web App,
66,1526631069063458816,Soumyajit Basu,Unknown,2011,cluster0,Topic3,Positive,False,Not Influential,7,88,595,0,Highly active,No Media Attached,Twitter for Android,Kolkata
67,1526630428131598340,Eric Kraemer,F,2011,cluster0,Topic3,Positive,False,Not Influential,425,1737,17972,0,Highly active,No Media Attached,Twitter for iPhone,
68,1526629267198582790,Tchello Silveira,M,2014,cluster0,Topic3,Positive,False,Not Influential,36,161,2427,0,Highly active,No Media Attached,Twitter Web App,Porto Alegre
69,1526628632327770114,what,M,2020,cluster0,Topic3,negative,False,Not Influential,2,43,145,0,Highly active,No Media Attached,Twitter for iPhone,
70,1526624312895348736,MARS SECRETS,F,2015,cluster0,Topic3,Positive,False,Not Influential,54,11,801,0,Highly active,No Media Attached,Twitter Web App,"Mumbai, India"
